Categoria;Prueba;Marca;Año;Competencia;Nombre Atleta;;
Adulto Masculino;800m;1:49.99 min;2019;Panamericanos Lima adulto;Alejandro Peirano López;;
Adulto Masculino;800m;1:50.03 min;2019;Panamericanos Lima adulto;Rafael Muñoz Nuñez;;
Adulto Masculino;Salto largo;7.05 mts;2019;Panamericanos Lima adulto;Daniel Pineda Contreras;;
Adulto Masculino;Lanzamiento bala ;18.38 mts;2019;Panamericanos Lima adulto;Santiago Basso Hughes;;
Adulto Masculino;Lanzamiento martillo ;74.98 mts;2019;Panamericanos Lima adulto;Gabriel Kehr Sabra;;
Adulto Masculino;Lanzamiento martillo ;74.38 mts;2019;Panamericanos Lima adulto;Humberto Mansilla Arzola;;
Adulto Masculino;Lanzamiento jabalina ;72.84 mts;2019;Panamericanos Lima adulto;Francisco Muse Mehech;;
Adulto Femenino;Salto largo;6.14 mts;2019;Panamericanos Lima adulto;Macarena Reyes Meneses;;
Adulto Femenino;Lanzamiento bala ;16.43 mts;2019;Panamericanos Lima adulto;Ivana Gallardo Cruchet;;
Adulto Femenino;Lanzamiento Disco;50.85 mts;2019;Panamericanos Lima adulto;Ivana Gallardo Cruchet;;
Adulto Femenino;Lanzamiento Disco;53.42 mts;2019;Panamericanos Lima adulto;Karen Gallardo  Pinto;;
Adulto Femenino;Lanzamiento martillo ;63.39 mts;2019;Panamericanos Lima adulto;Mariana Garcia Walker;;
Adulto Femenino;Lanzamiento jabalina ;53.66 mts;2019;Panamericanos Lima adulto;Maria Paz Rios Lama;;
Adulto Masculino;800m;1:49.96 min;2023;Panamericanos Santiago adulto;Rafael Muñoz Nuñez;;
Adulto Masculino;Salto alto ;2.15 mts;2023;Panamericanos Santiago adulto;Pedro Alamos;;
Adulto Masculino;Lanzamiento jabalina ;67.56 mts;2023;Panamericanos Santiago adulto;Francisco Muse Mehech;;
Adulto Masculino;Lanzamiento bala ;16.20 mts;2023;Panamericanos Santiago adulto;Matias Puschel Flies;;
Adulto Masculino;Lanzamiento Disco;63.39 mts;2023;Panamericanos Santiago adulto;Lucas Nervi Schmidt;;
Adulto Masculino;Salto largo;7.65 mts;2023;Panamericanos Santiago adulto;Vicente Belgeri Rojas;;
Adulto Masculino;Lanzamiento Martillo;74.35 mts;2023;Panamericanos Santiago adulto;Humberto Mansilla Arzola;;
Adulto Masculino;Lanzamiento Martillo;74.32 mts;2023;Panamericanos Santiago adulto;Gabriel Kehr Sabra;;
Adulto Masculino;Salto Garrocha;5.40 mts;2023;Panamericanos Santiago adulto;Guillermo Correa Aspillaga;;
Adulto Masculino;Salto Garrocha;5.20 mts;2023;Panamericanos Santiago adulto;Cristobal Nuñez;;
Adulto Femenino;800m;2:05.37 min;2023;Panamericanos Santiago adulto;Berdine Castillo Lillo;;
Adulto Femenino;Salto largo;6.23 mts;2023;Panamericanos Santiago adulto;Rocio Muñoz ;;
Adulto Femenino;Lanzamiento bala ;16.58 mts;2023;Panamericanos Santiago adulto;Natalia Duco Soler;;
Adulto Femenino;Lanzamiento bala ;15.30 mts;2023;Panamericanos Santiago adulto;Ivana Gallardo Cruchet;;
Adulto Femenino;Lanzamiento Disco;55.36 mts;2023;Panamericanos Santiago adulto;Karen Gallardo  Pinto;;
Adulto Femenino;Lanzamiento Disco;47,97 mts;2023;Panamericanos Santiago adulto;Catalina Bravo Aguilera;;
Adulto Femenino;Lanzamiento Martillo;62.74 mts;2023;Panamericanos Santiago adulto;Mariana Garcia;;
Adulto Femenino;Lanzamiento jabalina ;48.43 mts;2023;Panamericanos Santiago adulto;Maria Paz Rios ;;
Junior Femenino;800m;02:09.320 min;2021;Panamericanos junior Cali-Valle;Berdine Castillo Lillo;;
Junior Femenino;Lanzamiento bala ;12.84 mts;2021;Panamericanos junior Cali-Valle;Natalia Duco Soler;;
Junior Femenino;Lanzamiento Disco;52.44 mts;2021;Panamericanos junior Cali-Valle;Catalina Bravo;;
Junior Femenino;Lanzamiento Martillo;64.86 mts;2021;Panamericanos junior Cali-Valle;Mariana Garcia Walker;;
Junior Femenino;Lanzamiento Martillo;54.42 mts;2021;Panamericanos junior Cali-Valle;Javiera Moraga Dell'orto;;
Junior Femenino;Salto largo;6.16 mts;2021;Panamericanos junior Cali-Valle;Rocio Muñoz ;;
Junior Femenino;Salto largo;6.03 mts;2021;Panamericanos junior Cali-Valle;Maria Hurtado Eyzaguirre;;
Junior Femenino;Salto alto ;1.70 mts;2021;Panamericanos junior Cali-Valle;Olivia Garcia-Huidobro Lagos;;
Junior Femenino;Salto Garrocha;3.90 mts;2021;Panamericanos junior Cali-Valle;Javiera Contreras Gubbins;;
Junior Femenino;Salto Garrocha;3.70 mts;2021;Panamericanos junior Cali-Valle;Antonia Crestani Rebolledo;;
Junior Masculino;Lanzamiento bala ;17.38 mts;2021;Panamericanos junior Cali-Valle;Camilo Reyes Vásquez;;
Junior Masculino;Lanzamiento Disco;61.08 mts;2021;Panamericanos junior Cali-Valle;Lucas Nervi Schmidt;;
Junior Masculino;Lanzamiento Martillo;63.06 mts;2021;Panamericanos junior Cali-Valle;Daniel Leal Maureira;;
Junior Masculino;Salto Alto;2.10 mts;2021;Panamericanos junior Cali-Valle;"Nicolas Numair Rueda	";;
Junior Masculino;Salto Garrocha;5.00 mts;2021;Panamericanos junior Cali-Valle;Guillermo Correa Aspillaga;;
Junior Masculino;Salto Garrocha;4.50 mts;2021;Panamericanos junior Cali-Valle;"Sebastian Antonio Augusto Martin Huerta	";;
Junior Masculino;800m;1:51.11 min;2025;Panamericanos junior Asunción ;Lucas Jara;;
Junior Masculino;800m;1:51.27 min;2025;Panamericanos junior Asunción ;Klaus Scholz;;
Junior Masculino;Lanzamiento Disco;49.20 mts;2025;Panamericanos junior Asunción ;Camilo Rojas;;
Junior Masculino;Lanzamiento Martillo;67.04 mts;2025;Panamericanos junior Asunción ;Benjamín Muñoz;;
Junior Masculino;Lanzamiento Martillo;66.53 mts;2025;Panamericanos junior Asunción ;Miguel Castro;;
Junior Masculino;Salto Alto;2.04 mts;2025;Panamericanos junior Asunción ;Domingo Lorenzini;;
Junior Masculino;Salto Alto;2.04 mts;2025;Panamericanos junior Asunción ;Cristobal Sahurie;;
Junior Masculino;Salto Garrocha;4.60 mts;2025;Panamericanos junior Asunción ;Leonardo Olate;;
Junior Femenino;Lanzamiento bala ;15.47 mts;2025;Panamericanos junior Asunción ;Mariela Pérez;;
Junior Femenino;Salto Garrocha;3.60 mts;2025;Panamericanos junior Asunción ;Javiera Moraga;;


