Categoría;Año;Marca
Adulto masculino;2019;113,16
Adulto femenino;2019;130,48
Juvenil masculino;2019;0,00
Juvenil femenino;2019;0,00
Adulto masculino;2020;0,00
Adulto femenino;2020;0,00
Juvenil masculino;2020;0,00
Juvenil femenino;2020;0,00
Adulto masculino;2021;0,00
Adulto femenino;2021;131,70
Juvenil masculino;2021;117,80
Juvenil femenino;2021;0,00
Adulto masculino;2022;0,00
Adulto femenino;2022;0,00
Juvenil masculino;2022;115,20
Juvenil femenino;2022;138,80
Adulto masculino;2023;108,10
Adulto femenino;2023;124,20
Juvenil masculino;2023;0,00
Juvenil femenino;2023;0,00
Adulto masculino;2024;0,00
Adulto femenino;2024;0,00
Juvenil masculino;2024;118,90
Juvenil femenino;2024;137,20
