Categoria;Prueba;Marca;Año;Competencia;Nombre Atleta
Adulto Masculino;800m;1.49.99 min;2019;Panamericanos Lima adulto;Alejandro Peirano Lopez
Adulto Masculino;800m;1.50.03 min;2019;Panamericanos Lima adulto;Rafael Munoz Nunez
Adulto Masculino;800m;1.49.96 min;2023;Panamericanos Santiago adulto;Rafael Munoz Nunez
Juvenil/Junior Masculino;800m;1.51.11 min;2025;Panamericanos junior Asuncion ;Lucas Jara
Juvenil/Junior Masculino;800m;1.51.27 min;2025;Panamericanos junior Asuncion ;Klaus Scholz
Adulto Masculino;800m;1.48.36 min;2019;Sudamericano Adulto;Alejandro Peirano
Adulto Masculino;800m;1.57.97 min;2019;Sudamericano Adulto;Rafael Muñoz
Adulto Masculino;800m;1.47.27 min;2023;Sudamericano Adulto;Rafael Muñoz
Adulto Masculino;800m;1.49.01 min;2023;Sudamericano Adulto;Fernando ArÃ©valo
Juvenil/Junior Masculino;800m;1.52.64 min;2022;Sudamericano Escolar;Klaus Scholz
Juvenil/Junior Masculino;800m;1.57.76 min;2022;Sudamericano Escolar;Lucas Jara
Juvenil/Junior Masculino;800m;1.58.87 min;2024;Sudamericano Escolar;Dante Carvajal
Juvenil/Junior Masculino;800m;1.57.12 min;2021;Sudamericano Escolar;Klaus Scholz
Juvenil/Junior Masculino;800m;1.58.44 min;2021;Sudamericano Escolar;TomÃ¡s Godoy
Juvenil/Junior Masculino;800m;2.02.17 min;2023;Nacional Escolar;Valentín Acuña
Juvenil/Junior Masculino;800m;2.04.02 min;2023;Nacional Escolar;Tomas Leiva
Juvenil/Junior Masculino;800m;2.09.30 min;2023;Nacional Escolar;Nicolas Orellana
Juvenil/Junior Masculino;800m;2.09.35 min;2023;Nacional Escolar;Alonso Acuña
Juvenil/Junior Masculino;800m;2.12.09 min;2023;Nacional Escolar;Daniel Rispatron
Juvenil/Junior Masculino;800m;2.14.27 min;2023;Nacional Escolar;Matias Armengolli
Juvenil/Junior Masculino;800m;2.14.34 min;2023;Nacional Escolar;Tomas Mella
Juvenil/Junior Masculino;800m;2.15.15 min;2023;Nacional Escolar;Gaspar Ortiz
Juvenil/Junior Masculino;800m;2.04.17 min;2024;Nacional Escolar;Valentin Acuña
Juvenil/Junior Masculino;800m;2.05.38 min;2024;Nacional Escolar;Nicolas Muñoz
Juvenil/Junior Masculino;800m;2.07.49 min;2024;Nacional Escolar;Tomas Mella
Juvenil/Junior Masculino;800m;2.08.34 min;2024;Nacional Escolar;Cristian Espinoza
Juvenil/Junior Masculino;800m;2.09.11 min;2024;Nacional Escolar;Efrain Valderrama
Juvenil/Junior Masculino;800m;2.11.28 min;2024;Nacional Escolar;Agustin Cabezas
Juvenil/Junior Masculino;800m;2.11.42 min;2024;Nacional Escolar;Matias Proboste
Juvenil/Junior Masculino;800m;1.54.8 min;2025;Nacional Escolar;Matías González
Juvenil/Junior Masculino;800m;1.55.07 min;2025;Nacional Escolar;Cristóbal Pérez
Juvenil/Junior Masculino;800m;1.56.01 min;2025;Nacional Escolar;Diego Muñoz
Juvenil/Junior Masculino;800m;1.56.8 min;2025;Nacional Escolar;Nicolás Rojas
Juvenil/Junior Masculino;800m;1.57.5 min;2025;Nacional Escolar;Benjamín Herrera
Juvenil/Junior Masculino;800m;1.58. 1 min;2025;Nacional Escolar;Ignacio Soto
Juvenil/Junior Masculino;800m;1.59.0 min;2025;Nacional Escolar;Felipe Díaz
Juvenil/Junior Masculino;800m;1.59. 3 min;2025;Nacional Escolar;Joaquín Torres
Adulto Masculino;800m;1.49.36 min;2023;Nacional Adulto;Rafael Muñoz
Adulto Masculino;800m;1.50.39 min;2023;Nacional Adulto;Fernando Arevalo
Adulto Masculino;800m;1.50.45 min;2023;Nacional Adulto;Alfredo Toledo
Adulto Masculino;800m;1.50.46 min;2023;Nacional Adulto;Cristofer Jarpa
Adulto Masculino;800m;1.53.02 min;2023;Nacional Adulto;Francisco Muñoz
Adulto Masculino;800m;1.53.15 min;2023;Nacional Adulto;Salvador Orellana
Adulto Masculino;800m;1.53.17 min;2023;Nacional Adulto;Jeremy Alezander
Adulto Masculino;800m;1.53.53 min;2023;Nacional Adulto;Pablo Cabezas
Adulto Masculino;800m;1.49.01 min;2024;Nacional Adulto;Rafael Muñoz
Adulto Masculino;800m;1.49.36 min;2024;Nacional Adulto;Alejandro Peirano
Adulto Masculino;800m;1.50.32 min;2024;Nacional Adulto;Cristofer Jarpa
Adulto Masculino;800m;1.50.32 min;2024;Nacional Adulto;Lucas Jara
Adulto Masculino;800m;1.50.57 min;2024;Nacional Adulto;Esteban Gonzalez
Adulto Masculino;800m;1.51.51 min;2024;Nacional Adulto;Cristobal Sierraalta
Adulto Masculino;800m;1.53.00 min;2024;Nacional Adulto;Salvador Orellana
Adulto Masculino;800m;1.53.09 min;2024;Nacional Adulto;Alfredo Toledo
Adulto Masculino;800m;1.48.49 min;2025;Nacional Adulto;Klaus Scholz
Adulto Masculino;800m;1.49.18 min;2025;Nacional Adulto;Esteban Gonzalez
Adulto Masculino;800m;1.50.02 min;2025;Nacional Adulto;Lucas Jara
Adulto Masculino;800m;1.51.47 min;2025;Nacional Adulto;Cristobal Alonso
Adulto Masculino;800m;1.52.33 min;2025;Nacional Adulto;Alfredo Toledo
Adulto Masculino;800m;1.56.54 min;2025;Nacional Adulto;Cesar Abreu
